easting(x),northing(y),elevation(z)
215525.0,839975.0,310.8
215575.0,839975.0,305.1
215625.0,839975.0,303.8
215675.0,839975.0,303.4
215725.0,839975.0,301.5
215775.0,839975.0,301.0
215825.0,839975.0,303.4
215875.0,839975.0,309.4
215925.0,839975.0,316.3
215975.0,839975.0,323.7
216025.0,839975.0,327.6
216075.0,839975.0,326.4
216125.0,839975.0,333.6
216175.0,839975.0,337.4
216225.0,839975.0,340.3
216275.0,839975.0,347.1
216325.0,839975.0,355.3
216375.0,839975.0,362.8
216425.0,839975.0,370.2
216475.0,839975.0,382.0
216525.0,839975.0,399.3
216575.0,839975.0,412.2
216625.0,839975.0,417.4
216675.0,839975.0,425.1
216725.0,839975.0,437.9
216775.0,839975.0,448.7
216825.0,839975.0,456.6
216875.0,839975.0,459.5
216925.0,839975.0,458.4
216975.0,839975.0,456.3
217025.0,839975.0,457.6
217075.0,839975.0,458.6
217125.0,839975.0,456.9
217175.0,839975.0,454.2
217225.0,839975.0,443.7
217275.0,839975.0,434.8
217325.0,839975.0,432.1
217375.0,839975.0,430.1
217425.0,839975.0,424.7
217475.0,839975.0,422.2
217525.0,839975.0,420.9
217575.0,839975.0,421.6
217625.0,839975.0,422.4
217675.0,839975.0,419.3
217725.0,839975.0,418.5
217775.0,839975.0,424.8
217825.0,839975.0,430.3
217875.0,839975.0,437.0
217925.0,839975.0,447.9
217975.0,839975.0,451.5
218025.0,839975.0,453.7
218075.0,839975.0,454.8
218125.0,839975.0,458.8
218175.0,839975.0,465.6
218225.0,839975.0,466.9
218275.0,839975.0,467.3
218325.0,839975.0,461.0
218375.0,839975.0,456.0
218425.0,839975.0,447.5
218475.0,839975.0,429.7
218525.0,839975.0,410.1
218575.0,839975.0,403.2
218625.0,839975.0,402.8
218675.0,839975.0,402.7
218725.0,839975.0,397.4
218775.0,839975.0,383.2
218825.0,839975.0,387.5
218875.0,839975.0,400.1
218925.0,839975.0,413.1
218975.0,839975.0,431.7
219025.0,839975.0,436.9
219075.0,839975.0,424.9
219125.0,839975.0,394.6
219175.0,839975.0,345.5
219225.0,839975.0,287.2
219275.0,839975.0,263.7
219325.0,839975.0,257.8
219375.0,839975.0,251.4
219425.0,839975.0,240.9
219475.0,839975.0,239.4
219525.0,839975.0,218.7
219575.0,839975.0,218.7
219625.0,839975.0,218.7
219675.0,839975.0,218.7
219725.0,839975.0,218.7
219775.0,839975.0,218.7
219825.0,839975.0,218.7
219875.0,839975.0,218.7
219925.0,839975.0,218.7
219975.0,839975.0,218.7
220025.0,839975.0,218.7
220075.0,839975.0,218.7
220125.0,839975.0,218.7
220175.0,839975.0,246.6
220225.0,839975.0,266.4
220275.0,839975.0,293.4
220325.0,839975.0,312.9
220375.0,839975.0,316.6
220425.0,839975.0,325.2
220475.0,839975.0,316.7
220525.0,839975.0,307.9
220575.0,839975.0,321.1
220625.0,839975.0,329.1
220675.0,839975.0,323.2
220725.0,839975.0,314.4
220775.0,839975.0,313.1
220825.0,839975.0,319.0
220875.0,839975.0,333.2
220925.0,839975.0,350.5
220975.0,839975.0,364.0
221025.0,839975.0,374.8
221075.0,839975.0,390.7
221125.0,839975.0,404.0
221175.0,839975.0,415.0
221225.0,839975.0,430.4
221275.0,839975.0,445.8
221325.0,839975.0,460.1
221375.0,839975.0,471.1
221425.0,839975.0,465.0
221475.0,839975.0,480.2
221525.0,839975.0,489.6
221575.0,839975.0,497.9
221625.0,839975.0,494.6
221675.0,839975.0,491.5
221725.0,839975.0,493.4
221775.0,839975.0,497.5
221825.0,839975.0,500.4
221875.0,839975.0,498.1
221925.0,839975.0,490.8
221975.0,839975.0,485.8
222025.0,839975.0,485.8
222075.0,839975.0,483.5
222125.0,839975.0,478.3
222175.0,839975.0,473.6
222225.0,839975.0,476.6
222275.0,839975.0,475.3
222325.0,839975.0,469.0
222375.0,839975.0,465.6
222425.0,839975.0,458.4
222475.0,839975.0,444.1
222525.0,839975.0,437.1
222575.0,839975.0,430.4
222625.0,839975.0,426.8
222675.0,839975.0,424.1
222725.0,839975.0,415.6
222775.0,839975.0,407.9
222825.0,839975.0,390.6
222875.0,839975.0,369.1
222925.0,839975.0,343.4
222975.0,839975.0,325.5
223025.0,839975.0,318.4
223075.0,839975.0,311.7
223125.0,839975.0,292.9
223175.0,839975.0,314.0
223225.0,839975.0,329.0
223275.0,839975.0,338.4
223325.0,839975.0,342.4
223375.0,839975.0,347.0
223425.0,839975.0,340.9
223475.0,839975.0,336.0
223525.0,839975.0,332.4
223575.0,839975.0,332.5
223625.0,839975.0,330.4
223675.0,839975.0,328.4
223725.0,839975.0,334.3
223775.0,839975.0,337.0
223825.0,839975.0,342.6
223875.0,839975.0,350.9
223925.0,839975.0,358.0
223975.0,839975.0,367.3
224025.0,839975.0,377.5
224075.0,839975.0,383.2
224125.0,839975.0,390.3
224175.0,839975.0,398.5
224225.0,839975.0,409.7
224275.0,839975.0,417.0
224325.0,839975.0,421.7
224375.0,839975.0,425.2
224425.0,839975.0,429.3
224475.0,839975.0,433.6
224525.0,839975.0,433.9
224575.0,839975.0,432.3
224625.0,839975.0,431.2
224675.0,839975.0,432.1
224725.0,839975.0,432.4
224775.0,839975.0,428.3
224825.0,839975.0,426.1
224875.0,839975.0,424.1
224925.0,839975.0,421.4
224975.0,839975.0,420.4
225025.0,839975.0,417.9
225075.0,839975.0,417.5
225125.0,839975.0,417.6
225175.0,839975.0,407.4
225225.0,839975.0,393.0
225275.0,839975.0,386.7
225325.0,839975.0,375.8
225375.0,839975.0,371.1
225425.0,839975.0,359.4
225475.0,839975.0,366.8
225525.0,839975.0,364.1
225575.0,839975.0,370.7
225625.0,839975.0,380.1
225675.0,839975.0,385.3
225725.0,839975.0,390.4
225775.0,839975.0,400.3
225825.0,839975.0,408.8
225875.0,839975.0,416.9
225925.0,839975.0,425.2
225975.0,839975.0,433.7
226025.0,839975.0,440.5
226075.0,839975.0,447.6
226125.0,839975.0,452.3
226175.0,839975.0,456.7
226225.0,839975.0,461.3
226275.0,839975.0,462.6
226325.0,839975.0,464.8
226375.0,839975.0,462.8
226425.0,839975.0,464.4
226475.0,839975.0,472.5
226525.0,839975.0,480.9
226575.0,839975.0,488.9
226625.0,839975.0,499.7
226675.0,839975.0,511.3
226725.0,839975.0,520.6
226775.0,839975.0,523.8
226825.0,839975.0,523.1
226875.0,839975.0,520.0
226925.0,839975.0,507.6
226975.0,839975.0,495.6
227025.0,839975.0,480.1
227075.0,839975.0,461.4
227125.0,839975.0,426.7
227175.0,839975.0,399.2
227225.0,839975.0,374.4
227275.0,839975.0,357.0
227325.0,839975.0,344.9
227375.0,839975.0,333.7
227425.0,839975.0,325.9
227475.0,839975.0,312.2
227525.0,839975.0,316.9
227575.0,839975.0,320.2
227625.0,839975.0,321.3
227675.0,839975.0,329.8
227725.0,839975.0,340.7
227775.0,839975.0,352.1
227825.0,839975.0,368.3
227875.0,839975.0,370.8
227925.0,839975.0,376.9
227975.0,839975.0,384.0
228025.0,839975.0,399.1
228075.0,839975.0,420.1
228125.0,839975.0,440.4
228175.0,839975.0,463.7
228225.0,839975.0,478.1
228275.0,839975.0,470.0
228325.0,839975.0,473.0
228375.0,839975.0,483.2
228425.0,839975.0,473.0
228475.0,839975.0,463.2
228525.0,839975.0,467.0
228575.0,839975.0,461.1
228625.0,839975.0,457.1
228675.0,839975.0,461.8
228725.0,839975.0,469.7
228775.0,839975.0,482.3
228825.0,839975.0,493.4
228875.0,839975.0,505.4
228925.0,839975.0,508.6
228975.0,839975.0,510.4
229025.0,839975.0,507.8
229075.0,839975.0,493.9
229125.0,839975.0,470.2
229175.0,839975.0,447.6
229225.0,839975.0,437.2
229275.0,839975.0,434.2
229325.0,839975.0,433.4
229375.0,839975.0,432.5
229425.0,839975.0,427.8
229475.0,839975.0,421.2
229525.0,839975.0,412.6
229575.0,839975.0,418.9
229625.0,839975.0,419.9
229675.0,839975.0,424.6
229725.0,839975.0,421.5
229775.0,839975.0,414.5
229825.0,839975.0,410.7
229875.0,839975.0,411.6
229925.0,839975.0,415.6
229975.0,839975.0,418.0
200025.0,839925.0,263.6
200075.0,839925.0,266.0
200125.0,839925.0,273.3
200175.0,839925.0,277.0
200225.0,839925.0,279.2
200275.0,839925.0,282.8
200325.0,839925.0,288.5
200375.0,839925.0,300.5
200425.0,839925.0,309.8
200475.0,839925.0,322.3
200525.0,839925.0,328.2
