InitialWolves,Run,Extinction,ExtinctionWeek,MinDeer,FinalDeer,FinalWolves,MaxWolves,TimeToDeer4000,TimeToDeer3000,MeanDeerPerWolf_Year1,MeanWeeklyDeerKilled_Year1,MeanWolfBirths_Year1,MeanWolfDeaths_Year1,MeanDeer_FinalPhase,SDDeer_FinalPhase,MeanWolves_FinalPhase
20,16,True,0.0,526,1708,0,77,1203.5,1337.0,382.46987622129444,4.171428571428572,0.06666666666666667,0.047619047619047616,1321.6014026884864,228.20288008165778,3.0134424313267094
20,17,True,0.0,221,411,0,86,1193.5,1295.0,380.7283499162127,4.228571428571429,0.047619047619047616,0.01904761904761905,333.41545189504376,36.319387098720625,1.9322157434402332
20,18,False,,374,2114,16,81,1102.0,1203.0,363.644142937674,3.142857142857143,0.0761904761904762,0.009523809523809525,1981.5994400559944,144.61862236823595,14.858614138586141
20,19,False,,619,2198,18,84,1160.0,1257.5,353.1721344987979,4.095238095238095,0.08571428571428572,0.02857142857142857,2535.7530246975302,203.18605610892763,18.64963503649635
30,0,False,,611,2470,21,83,1012.0,1091.0,363.1660756956742,3.1523809523809523,0.0761904761904762,0.02857142857142857,2881.829917008299,434.59410484828607,21.033496650334968
30,1,False,,634,1910,16,84,1062.5,1161.0,356.0084932614297,4.4,0.0761904761904762,0.02857142857142857,2156.871312868713,327.95103161595057,15.340765923407659
30,2,True,0.0,218,218,0,80,1323.0,1481.0,347.20046385285946,4.257142857142857,0.08571428571428572,0.047619047619047616,292.6211232187762,52.70620058665721,1.9455155071248953
30,3,True,0.0,358,409,0,85,1465.0,1565.5,358.9244645292135,3.9523809523809526,0.09523809523809523,0.0761904761904762,407.3269391159299,34.118910200614444,2.770642201834862
30,4,False,,716,2666,23,86,1248.0,1415.5,376.157645710288,5.228571428571429,0.05714285714285714,0.02857142857142857,1890.110888911109,512.0074386202018,12.971702829717028
30,5,True,0.0,154,203,0,82,1334.0,1458.0,370.3033061967385,4.238095238095238,0.11428571428571428,0.047619047619047616,182.19452449567723,17.46186448135551,1.2406340057636887
