RunId,iteration,Step,max_steps,init_predators,init_deer,height,width,step_size,yearly_sunlight_hours,seed,predator,energy_decrease,pack_limit,use_base,use_pack_dynamics,use_random_movement,use_veg,given_positions,use_boundary_conditions,Time,Wolf,Deer,Deer Hunted,Total Deer Deaths,Total Wolf Deaths,Deer Births
0,0,3060.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.125,3,660,2,2,0,2
0,0,3120.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.1666666666666665,3,660,2,2,0,2
0,0,3180.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.2083333333333335,3,660,2,2,0,2
0,0,3240.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.25,3,660,2,2,0,2
0,0,3300.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.2916666666666665,3,660,2,2,0,2
0,0,3360.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.3333333333333335,3,660,2,2,0,2
0,0,3420.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.375,3,660,2,2,0,2
0,0,3480.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.4166666666666665,3,660,2,2,0,2
0,0,3540.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.4583333333333335,3,660,2,2,0,2
0,0,3600.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.5,3,660,2,2,0,2
0,0,3660.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.5416666666666665,3,660,2,2,0,2
0,0,3720.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.5833333333333335,3,660,2,2,0,2
0,0,3780.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.625,3,660,2,2,0,2
0,0,3840.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.6666666666666665,3,660,2,2,0,2
0,0,3900.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.7083333333333335,3,660,2,2,0,2
0,0,3960.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.75,3,660,2,2,0,2
0,0,4020.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.7916666666666665,3,660,2,2,0,2
0,0,4080.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.8333333333333335,3,660,2,2,0,2
0,0,4140.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.875,3,660,2,2,0,2
0,0,4200.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.9166666666666665,3,660,2,2,0,2
0,0,4260.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,2.9583333333333335,3,660,2,2,0,2
0,0,4320.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,3.0,3,660,2,2,0,2
0,0,4380.0,172800,3,660,10,10,0.016666666666666666,8760,,Wolf,0.002,12,False,True,False,False,False,True,3.0416666666666665,3,660,2,2,0,2
